"id","group_code","group_name","sub_code","task_name","ly_trinh","unit","design_quantity"
"43","1","Đường Giao Thông","1.4.10","Đắp đất công trình, độ chặt yêu cầu K=0,90",,"100m3","0.0077"
"44","1","Đường Giao Thông","1.4.11","Vận chuyển đất trong phạm vi <= 1000m, đất cấp II",,"100m3","0.0256"
"45","1","Đường Giao Thông","1.4.12","Dải phân cách di động (trụ mũi tên vòng đảo giao thông), mỗi trụ dài 0.86m",,"cái","347"
"46","1","Đường Giao Thông","1.5","Vị trí hạ hè",,,
"47","1","Đường Giao Thông","1.5.1","Bê tông móng, đá 1x2, mác 150",,"m3","3.588"
"48","1","Đường Giao Thông","1.5.2","Ván khuôn móng băng, móng bó vỉa",,"100m2","0.156"
"49","1","Đường Giao Thông","1.5.3","Bó vỉa hè, đường bằng tấm bê tông đúc sẵn, bó vỉa thẳng 23x26x100cm, vữa XM mác 75",,"m","78"
"50","1","Đường Giao Thông","1.5.4","Lát tấm đan rãnh KT 30x50x5cm BTXM  M250, giả đá, vữa XM mác 100",,"m2","23.4"
"51","1","Đường Giao Thông","1.5.5","Tấm đan rãnh 50x30x5cm",,"cái","156"
"52","1","Đường Giao Thông","1.5.6","Lắp tấm đan rãnh 50x30x5cm",,"cái","156"
"53","1","Đường Giao Thông","1.5.7","Lát gạch vỉa hè gạch block tự chèn, chiều dày 6cm",,"m2","97.5"
"54","1","Đường Giao Thông","1.5.8","Đắp cát công trình, độ chặt yêu cầu K=0,90",,"100m3","0.0975"
"55","1","Đường Giao Thông","1.6","Gia cố taluy",,,
"56","1","Đường Giao Thông","1.6.1","Rải vải địa kỹ thuật",,"100m2","3.949"
"57","1","Đường Giao Thông","1.6.2","Thi công lớp đá đệm móng",,"m3","39.49"
"58","1","Đường Giao Thông","1.6.3","Xây đá hộc, xây móng, chiều dày <= 60cm, vữa XM mác 100, PCB30",,"m3","99.34"
"59","1","Đường Giao Thông","1.6.4","Thi công tầng lọc bằng đá dăm 1x2",,"100m3","0.015"
"60","1","Đường Giao Thông","1.6.5","Thi công tầng lọc bằng cát vàng",,"100m3","0.0306"
"61","1","Đường Giao Thông","1.6.6","Rải vải địa kỹ thuật làm nền đường, mái đê, đập",,"100m2","0.3047"
"62","1","Đường Giao Thông","1.6.7","Ống uPVC D48",,"md","40.5"
"63","1","Đường Giao Thông","1.7","Chân khay gia cố taluy",,,
"64","1","Đường Giao Thông","1.7.1","Đào nóng chân khay, đất cấp II",,"100m3","0.4676"
"65","1","Đường Giao Thông","1.7.2","Đắp trả móng chân khay, độ chặt yêu cầu K=0,90",,"100m3","0.1528"
"66","1","Đường Giao Thông","1.7.3","Vận chuyển đất trong phạm vi <= 500m, đất cấp II",,"100m3","0.3148"
"67","1","Đường Giao Thông","1.7.4","Đóng cọc tre, chiều dài cọc 2m, đất cấp II",,"100m","17.1745"
"68","1","Đường Giao Thông","1.7.5","Bê tông lót chân khay, đá 2x4, mác 100",,"m3","3.4349"
"69","1","Đường Giao Thông","1.7.6","Xếp đá khan không chít mạch, mặt bằng",,"m3","25.7618"
"70","1","Đường Giao Thông","1.7.7","Xây đá hộc, xây móng, chiều dày <= 60cm, vữa XM mác 100",,"m3","19.8734"
"71","1","Đường Giao Thông","1.8","Phá dỡ",,,
"72","1","Đường Giao Thông","1.8.1","Phá dỡ kết cấu bê tông (bao gồm cả xúc lên phương tiện vận chuyển và vận chuyển đổ phế thải)",,"m3","637.3535"
"73","1","Đường Giao Thông","1.8.2","Chặt bỏ cây hiện trạng",,"cây","223"
"74","1","Đường Giao Thông","1.8.3","Di chuyển trụ cứu hỏa",,"trụ","4"
"75","1","Đường Giao Thông","1.8.4","Đổ bê tông thủ công bằng máy trộn, bê tông bảo vệ cống, đá 1x2, mác 250",,"m3","47.463"
"76","1","Đường Giao Thông","1.8.5","Công tác gia công lắp dựng cốt thép. Cốt thép bê tông bảo vệ cống, đường kính cốt thép <= 18mm",,"tấn","3.3794"
"77","1","Đường Giao Thông","1.9","Cải tạo hố ga D1500",,,
"78","1","Đường Giao Thông","1.9.1","Phá dỡ kết cấu bê tông không cốt thép bằng máy khoan bê tông 1,5kW (bao gồm cả xúc lên phương tiện vận chuyển và vận chuyển đổ phế thải)",,"m3","1.008"
"79","1","Đường Giao Thông","1.9.2","Nắp hố ga khung dương gang cầu 890x890x70mm D650, tải trọng 40T",,"cái","7"
"80","1","Đường Giao Thông","1.10","Cải tạo hố thu",,,
"81","1","Đường Giao Thông","1.10.1","Cung cấp và lắp đặt Song chắn rác nắp ghi thu KT 960x530, bao gồm khung đỡ và bản lề chống trộm",,"bộ","4"
"82","1","Đường Giao Thông","1.10.2","Lắp đặt nắp ga",,"cấu kiện","1"
"83","2","Nút Giao","2.1","Tôn đất màu trồng cỏ khu vực xung quanh biểu tượng",,,
"84","2","Nút Giao","2.1.1","Vận chuyển đất hữu cơ từ bãi tập trung tận dụng của dự án và đắp đồi cao 3,5m, độ dốc 30%, hệ số đầm K=0,85 để trồng cây",,"100m3","5.1667"
"85","2","Nút Giao","2.2","Tường chân biểu tượng",,,
"86","2","Nút Giao","2.2.1","Bê tông lót đáy tường, chiều rộng <= 250 cm, đá 4x6, mác 100",,"m3","3.2095"
"87","2","Nút Giao","2.2.2","Xây gạch không nung (6,5x10,5x22)cm, xây móng chân biểu tượng (bao quanh đồi cỏ), chiều dày <= 33cm, vữa XM mác 75",,"m3","28.5318"
"88","2","Nút Giao","2.2.3","Đổ bê tông thủ công bằng máy trộn, bê tông giằng tường chân biểu tượng( bao quanh đồi cỏ), chiều rộng <= 250 cm, đá 1x2, mác 250",,"m3","4.454"
"89","2","Nút Giao","2.2.4","Cốt thép giằng tường chân biểu tượng (bao quanh đồi cỏ), đường kính cốt thép <= 10mm",,"tấn","0.1383"
"90","2","Nút Giao","2.2.5","Xây tường chân biểu tượng (bao quanh đồi cỏ) (6,5x10,5x22)cm, chiều dày <= 33cm, vữa XM mác 75",,"m3","22.27"
"91","2","Nút Giao","2.2.6","Công tác ốp gạch vào thân tường chân biểu tượng bằng đá ong xám KT 15x60cm, vữa XM mác 75",,"m2","72.05"
"92","2","Nút Giao","2.2.7","Công tác ốp mặt tường chân biểu tường bằng đá Granit xám, vữa XM mác 75",,"m2","21.615"
"93","2","Nút Giao","2.3","Cấp điện khu vực nút giao",,,
"94","2","Nút Giao","2.3.1","Cung cấp và lắp đặt Logo hộp đèn: Cao 3000 x rộng 3000 x dày 300mm. Mặt trước hoàn thiện Mica hút nổi dày 3ly có lớp Polycacbonnat tản sáng dày 3ly. Cạnh và mặt sau hoàn thiện inox vàng xước dày 1ly. Hộp có đèn LED SAMSUNG 1.08kW (hoặc tương đương), ánh sáng trắng 5000K-6000K",,"bộ","1"
"95","2","Nút Giao","2.3.2","Cung cấp và lắp đặt Bộ chữ "" KHU CÔNG NGHỆ CAO HÒA LẠC"" theo quy cách thiết kế (20 KÝ TỰ). Cao 1200mm, chữ dày 300mm, font chữ: Google Teko, Mặt trước hoàn thiện Mica hút nổi dày 3ly có lớp Polycacbonnat tản sáng dày 3ly. Cạnh và mặt sau hoàn thiện inox vàng xước dày 1ly. Hộp có đèn LED SAMSUNG 1.08kW (hoặc tương đương), ánh sáng trắng 5000K-6000K",,"bộ","1"
"96","2","Nút Giao","2.3.3","Cung cấp và lắp đặt Hệ thống khung gắn chữ liên kết với giằng BT thép hộp 40x80x2mm và khung xương thép hộp 20x40x1mm mặt xương cầu nối mặt trước sau thép hộp 20x40x1mm A300MM, màu ghi tối",,"bộ","1"
"97","2","Nút Giao","2.3.4","Cung cấp và lắp đặt Đèn led ngoài trời hắt chân tường",,"m","22.3"
"98","2","Nút Giao","2.3.5","Cung cấp và lắp đặt Đèn hắt cây ngoài trời 18W",,"bộ","8"
"99","2","Nút Giao","2.3.6","Cung cấp và lắp đặt Đèn nấm sân vườn chiếu sáng cây bụi",,"bộ","20"
"100","2","Nút Giao","2.3.7","Cung cấp và lắp đặt Tủ điện ĐKCS",,"tủ","1"
"101","2","Nút Giao","2.3.8","Cung cấp và lắp đặt Cáp 0.6/1KV Cu/XLPE/DSTA/PVC 2x4",,"100m","2.82"
"102","2","Nút Giao","2.3.9","Cung cấp và lắp đặt Dây tiếp địa Cu/PVC 1x4m2",,"m","282"
"103","2","Nút Giao","2.3.10","CDLĐ Cáp 0.6/1KV Cu/XLPE/DSTA/PVC 4x6mm2",,"100m","5.7"
"104","2","Nút Giao","2.3.11","Cung cấp và lắp đặt Ống HDPE D50/40",,"m","852"
"105","2","Nút Giao","2.4","MÓNG TỦ",,,
"106","2","Nút Giao","2.4.1","Móng bê tông, đá 1x2, mác 200 (bao gồm cả Đào móng)",,"m3","0.24"
"107","2","Nút Giao","2.4.2","Đắp nền K90",,"100m3","0.0005"
"108","2","Nút Giao","2.4.3","Vận chuyển đất trong phạm vi <= 500m, đất cấp II",,"100m3","0.0014"
"109","2","Nút Giao","2.4.4","Cung cấp và lắp đặt Bulong móng M16*350",,"cái","4"
"110","2","Nút Giao","2.4.5","Cung cấp và lắp đặt Ống nhựa HDPE D50/40",,"m","2.25"
"111","2","Nút Giao","2.5","Tiếp địa tủ",,,
"112","2","Nút Giao","2.5.1","Cung cấp và lắp đặt Cọc tiếp địa thép L63*63*6 dài 2.5m",,"cọc","4"
"113","2","Nút Giao","2.5.2","Cung cấp và lắp đặt Dây tiếp địa thép D10",,"m","10"
"114","2","Nút Giao","2.5.3","Cung cấp và lắp đặt Tai bắt tiếp địa dày 4mm",,"cái","1"
"115","2","Nút Giao","2.6","* MÓNG ĐÈN NẤM",,,
"116","2","Nút Giao","2.6.1","Đào móng cột, trụ, đất cấp II",,"m3","1.1263"
"117","2","Nút Giao","2.6.2","Bê tông lót móng, đá 4x6, mác 100",,"m3","0.1444"
"118","2","Nút Giao","2.6.3","Bê tông móng, đá 1x2, mác 200",,"m3","0.1568"
"119","2","Nút Giao","2.6.4","Đắp đất công trình độ chặt yêu cầu K=0,90",,"100m3","0.0083"
"120","2","Nút Giao","2.6.5","Vận chuyển đất trong phạm vi <= 500m",,"100m3","0.003"
"121","2","Nút Giao","2.7","* Móng đèn chiếu sáng thảm cỏ",,,
"122","2","Nút Giao","2.7.1","Móng bê tông, đá 1x2, mác 200 (bao gồm cả đào móng)",,"m3","0.288"
"123","2","Nút Giao","2.7.2","Đắp đất công trình độ chặt yêu cầu K=0,90",,"100m3","0.0008"
"124","2","Nút Giao","2.7.3","Vận chuyển đất trong phạm vi <= 500m, đất cấp II",,"100m3","0.0029"
"125","2","Nút Giao","2.8","* RÃNH CÁP",,,
"126","2","Nút Giao","2.8.1","Đào móng rãnh cáp bằng thủ công, đất cấp II",,"m3","14.21"
"127","2","Nút Giao","2.8.2","Đào móng rãnh cáp bằng máy, đất cấp II",,"100m3","2.6999"
"128","2","Nút Giao","2.8.3","Đắp cát công trình, độ chặt yêu cầu K=0,90",,"100m3","2.5164"
"129","2","Nút Giao","2.8.4","Cung cấp và lắp đặt Băng báo cáp rộng 0.25m",,"100m2","2.13"
"130","2","Nút Giao","2.8.5","Cung cấp và lắp đặt Băng báo cáp rộng 0.25m",,"m","852"
"131","2","Nút Giao","2.9","Cây xanh khu vực biểu tượng",,,
"132","2","Nút Giao","2.9.1","Cỏ lá gừng",,"m2","3209"
"133","2","Nút Giao","2.9.2","Bàng đài loan, đường kính cách gốc 1m là 10cm",,"cây","22"
"134","2","Nút Giao","2.9.3","Tường Vy, H=1.5-2M",,"Cây","24"
"135","2","Nút Giao","2.9.4","Hoa Đại, DK=10cm (cụm 3 cây)",,"cụm","7"
"136","2","Nút Giao","2.9.5","Cau Bụi Vàng, H=2-3M",,"Bụi","26"
"137","2","Nút Giao","2.9.6","Cau nga mi (cụm 3 cây)",,"cụm","10"
"138","2","Nút Giao","2.9.7","Mẫu đơn Thái trồng viền",,"md","28"
"139","2","Nút Giao","2.9.8","Chuỗi ngọc trồng viền",,"md","230"
"140","2","Nút Giao","2.9.9","Huyết dụ",,"Bầu","1000"
"141","2","Nút Giao","2.9.10","Ngũ gia bì",,"Bầu","1000"
"142","2","Nút Giao","2.9.11","Lan chi",,"Bầu","2000"
"143","2","Nút Giao","2.9.12","Làm đất kỹ thuật trước khi trồng cây",,"100m2/lần","41.064"
"144","2","Nút Giao","2.9.13","Trồng và chăm sóc cỏ lá gừng",,"m2/tháng","3209"
"145","2","Nút Giao","2.9.14","Duy trì thảm cỏ lá gừng. Công viên, vườn hoa, khu đô thị.",,"100m2/tháng","32.09"
"146","2","Nút Giao","2.9.15","Trồng, chăm sóc cây bóng mát",,"cây/lần","29"
"147","2","Nút Giao","2.9.16","Duy trì cây bóng mát mới trồng đường kính >6cm",,"10 cây/tháng","2.9"
"148","2","Nút Giao","2.9.17","Trồng, chăm sóc cây cảnh",,"cây/lần","60"
"149","2","Nút Giao","2.9.18","Duy trì cây cảnh đơn lẻ, khóm.",,"10 cây(khóm)/tháng","6"
"150","2","Nút Giao","2.9.19","Trồng, chăm sóc cây hàng rào, cây trồng mảng, cây hoa lưu niên.",,"m2/tháng","897.4"
"151","2","Nút Giao","2.9.20","Duy trì cây hàng rào, cây trồng mảng và cây hoa lưu niên.",,"m2/tháng","897.4"
"152","3","Thoát Nước Mưa","3.1","Công tác đất",,,
"153","3","Thoát Nước Mưa","3.1.1","Đào móng bằng máy, đất cấp II",,"100m3","215.6891"
"154","3","Thoát Nước Mưa","3.1.2","Đào móng bằng thủ công, đất cấp II",,"m3","1135.206"
"155","3","Thoát Nước Mưa","3.1.3","Đào móng hố ga, bằng máy, đất cấp II",,"100m3","24.1428"
"156","3","Thoát Nước Mưa","3.1.4","Đào móng hố ga bằng thủ công, đất cấp II",,"m3","127.0675"
"157","3","Thoát Nước Mưa","3.1.5","Đắp cát công trình, độ chặt yêu cầu K=0,95",,"100m3","107.0259"
"158","3","Thoát Nước Mưa","3.1.6","Đắp đất công trình, độ chặt yêu cầu K=0,95",,"100m3","54.8552"
"159","3","Thoát Nước Mưa","3.1.7","Vận chuyển đất trong phạm vi <= 500m, đất cấp II",,"100m3","197.5995"
"160","3","Thoát Nước Mưa","3.2","Đường ống",,,
"161","3","Thoát Nước Mưa","3.2.1","Thi công Cống BTCT D300- chịu tải VH",,"m","313.9"
"162","3","Thoát Nước Mưa","3.2.2","Thi công Cống BTCT D600- chịu tải VH",,"m","2201"
"163","3","Thoát Nước Mưa","3.2.3","Thi công Cống BTCT D800-chịu tải HL93",,"m","17"
"164","3","Thoát Nước Mưa","3.2.4","Thi công Cống BTCT D800- chịu tải VH",,"m","783"
"165","3","Thoát Nước Mưa","3.2.5","Thi công Cống BTCT D1000-chịu tải HL93",,"m","14"
"166","3","Thoát Nước Mưa","3.2.6","Thi công Cống BTCT D1000-chịu tải VH",,"m","609"
"167","3","Thoát Nước Mưa","3.2.7","Thi công Cống BTCT D1250-chịu tải HL93",,"m","14"
"168","3","Thoát Nước Mưa","3.2.8","Thi công Cống BTCT D1250-chịu tải VH",,"m","533"
"169","3","Thoát Nước Mưa","3.2.9","Thi công Cống BTCT D1500-chịu tải HL93",,"m","77"
"170","3","Thoát Nước Mưa","3.2.10","Thi công Cống BTCT D1500-chịu tải VH",,"m","857"
"171","3","Thoát Nước Mưa","3.2.11","Thi công Cống BTCT BxH=2x2m HL93",,"m","86"
"172","3","Thoát Nước Mưa","3.2.12","Quét nhựa bitum nóng vào thân cống",,"m2","37896.848"
"173","3","Thoát Nước Mưa","3.2.13","Cung cấp và lắp đặt gối đỡ cống D300",,"cái","375"
"174","3","Thoát Nước Mưa","3.2.14","Cung cấp và lắp đặt gối đỡ cống D600",,"cái","2641"
"175","3","Thoát Nước Mưa","3.2.15","Cung cấp và lắp đặt gối đỡ cống D800",,"cái","960"
"176","3","Thoát Nước Mưa","3.2.16","Cung cấp và lắp đặt gối đỡ cống D1000",,"cái","748"
"177","3","Thoát Nước Mưa","3.2.17","Cung cấp và lắp đặt gối đỡ cống D1250",,"cái","656"
"178","3","Thoát Nước Mưa","3.2.18","Cung cấp và lắp đặt gối đỡ cống D1500",,"cái","1117"
"179","3","Thoát Nước Mưa","3.2.19","Thi công lớp đá đệm móng, loại đá có đường kính Dmax<= 4",,"m3","929.3569"
"180","3","Thoát Nước Mưa","3.2.20","Đắp cát công trình, độ chặt yêu cầu K=0,95",,"100m3","5.8975"
"181","3","Thoát Nước Mưa","3.2.21","Bê tông lót mác 100",,"m3","22.36"
"182","3","Thoát Nước Mưa","3.3","Hố ga thu trực tiếp cống D300 (Htb=1.2m)",,,
"183","3","Thoát Nước Mưa","3.3.1","Bê tông lót móng, chiều rộng <= 250 cm, đá 4x6, mác 100",,"m3","20.826"
"184","3","Thoát Nước Mưa","3.3.2","Bê tông hố van, hố ga, đá 1x2, mác 250",,"m3","121.0867"
"185","3","Thoát Nước Mưa","3.3.3","Cốt thép hố ga, đường kính cốt thép <= 10mm",,"tấn","22.9593"
"186","3","Thoát Nước Mưa","3.3.4","Chèn vữa XM mác 75 vị trí đấu nối cống D300",,"mối nối","178"
"187","3","Thoát Nước Mưa","3.3.5","Song chắn rác bằng gang cầu bao gồm khung đỡ KT960x530mm tải trọng 25T",,"Cái","178"
"188","3","Thoát Nước Mưa","3.3.6","Láng đáy, dày 2cm, vữa XM mác 75",,"m2","56.96"
"189","3","Thoát Nước Mưa","3.3.7","Trát tường trong, chiều dày trát 1,5cm, vữa XM mác 75",,"m2","500.0643"
"190","3","Thoát Nước Mưa","3.3.8","Quét nhựa bitum thành ngoài hố ga (2 lớp)",,"m2","1730.16"
"191","3","Thoát Nước Mưa","3.4","Ga thăm trên hè cống D600 loại 1(Htb=1.49m)",,,
"192","3","Thoát Nước Mưa","3.4.1","Thi công lớp đá dăm đệm móng",,"m3","8.192"
"193","3","Thoát Nước Mưa","3.4.2","Bê tông lót móng, chiều rộng <= 250 cm, đá 4x6, mác 100",,"m3","4.096"
"194","3","Thoát Nước Mưa","3.4.3","Bê tông hố van, hố ga, đá 1x2, mác 250",,"m3","24.38"
"195","3","Thoát Nước Mưa","3.4.4","Cốt thép hố ga, đường kính cốt thép <= 10mm",,"tấn","2.0808"
"196","3","Thoát Nước Mưa","3.4.5","Cốt thép hố ga, đường kính cốt thép > 18mm",,"tấn","0.1342"
"197","3","Thoát Nước Mưa","3.4.6","Sơn sắt thép bằng sơn các loại, 1 nước lót, 2 nước phủ",,"m2","3.4163"
"198","3","Thoát Nước Mưa","3.4.7","Chèn vữa vị trí nối cống D300",,"mối nối","16"
"199","3","Thoát Nước Mưa","3.4.8","Chèn vữa vị trí nối cống D600",,"mối nối","16"
"200","3","Thoát Nước Mưa","3.4.9","Bê tông tấm đan, đá 1x2, mác 250",,"m3","3.528"
"201","3","Thoát Nước Mưa","3.4.10","Cốt thép tấm đan",,"tấn","0.7165"
"202","3","Thoát Nước Mưa","3.4.11","Cung cấp và lắp đặt Nắp hố ga khung dương gang cầu KT890x890x70mm D650mm, tải trọng 25T",,"cái","16"
"203","3","Thoát Nước Mưa","3.4.12","Quét nhựa bitum thành ngoài hố ga (2 lớp)",,"m2","289.408"
"204","3","Thoát Nước Mưa","3.5","Ga thăm trên hè cống D600 loại 2(Htb=1.55m, H thân ga =1m)",,,
"205","3","Thoát Nước Mưa","3.5.1","Thi công lớp đá dăm đệm móng",,"m3","31.744"
"206","3","Thoát Nước Mưa","3.5.2","Bê tông lót móng, đá 4x6, mác 100",,"m3","15.872"
"207","3","Thoát Nước Mưa","3.5.3","Bê tông hố van, hố ga, đá 1x2, mác 250",,"m3","93.7954"
"208","3","Thoát Nước Mưa","3.5.4","Cốt thép hố ga, đường kính cốt thép <= 10mm",,"tấn","7.7917"
"209","3","Thoát Nước Mưa","3.5.5","Cốt thép hố ga, đường kính cốt thép > 18mm",,"tấn","0.5202"
"210","3","Thoát Nước Mưa","3.5.6","Sơn sắt thép bằng sơn các loại, 1 nước lót, 2 nước phủ",,"m2","13.2382"
"211","3","Thoát Nước Mưa","3.5.7","Chèn vữa vị trí nối cống D300",,"mối nối","62"
"212","3","Thoát Nước Mưa","3.5.8","Chèn vữa vị trí nối cống D600",,"mối nối","124"
"213","3","Thoát Nước Mưa","3.5.9","Bê tông tấm đan, đá 1x2, mác 250",,"m3","13.671"
"214","3","Thoát Nước Mưa","3.5.10","Cốt thép tấm đan",,"tấn","2.7144"
"215","3","Thoát Nước Mưa","3.5.11","Cung cấp và lắp đặt Nắp hố ga khung dương gang cầu KT890x890x70mm D650mm, tải trọng 25T",,"cái","62"
"216","3","Thoát Nước Mưa","3.5.12","Quét nhựa bitum thành ngoài hố ga (2 lớp)",,"m2","1128.4"
"217","3","Thoát Nước Mưa","3.6","Ga thăm trên hè cống D600 loại 2(Htb=2.15m, H thân ga =1.5m)",,,
"218","3","Thoát Nước Mưa","3.6.1","Thi công lớp đá dăm đệm móng",,"m3","1.536"
"219","3","Thoát Nước Mưa","3.6.2","Bê tông lót móng, đá 4x6, mác 100",,"m3","0.768"
"220","3","Thoát Nước Mưa","3.6.3","Bê tông hố van, hố ga, đá 1x2, mác 250",,"m3","6.1945"
"221","3","Thoát Nước Mưa","3.6.4","Cốt thép hố ga, đường kính cốt thép <= 10mm",,"tấn","0.5268"
"222","3","Thoát Nước Mưa","3.6.5","Cốt thép hố ga, đường kính cốt thép > 18mm",,"tấn","0.0377"
"223","3","Thoát Nước Mưa","3.6.6","Sơn sắt thép bằng sơn các loại, 1 nước lót, 2 nước phủ",,"m2","0.9608"
"224","3","Thoát Nước Mưa","3.6.7","Chèn vữa vị trí nối cống D300",,"mối nối","3"
"225","3","Thoát Nước Mưa","3.6.8","Chèn vữa vị trí nối cống D600",,"mối nối","6"
"226","3","Thoát Nước Mưa","3.6.9","Bê tông tấm đan, đá 1x2, mác 250",,"m3","0.6615"
"227","3","Thoát Nước Mưa","3.6.10","Cốt thép tấm đan",,"tấn","0.1313"
"228","3","Thoát Nước Mưa","3.6.11","Cung cấp và lắp đặt Nắp hố ga khung dương gang cầu KT890x890x70mm D650mm, tải trọng 25T",,"cái","3"
"229","3","Thoát Nước Mưa","3.6.12","Quét nhựa bitum thành ngoài hố ga (2 lớp)",,"m2","71.4"
"230","3","Thoát Nước Mưa","3.7","Ga thăm trên hè cống D800  ( Htb=1.76m)",,,
"231","3","Thoát Nước Mưa","3.7.1","Thi công lớp đá dăm đệm móng",,"m3","16.128"
"232","3","Thoát Nước Mưa","3.7.2","Bê tông lót móng, đá 4x6, mác 100",,"m3","8.064"
"233","3","Thoát Nước Mưa","3.7.3","Bê tông hố van, hố ga, đá 1x2, mác 250",,"m3","49.7311"
